Timestamp (UTC),Inverter Serial,Port Number,DC Power (W),DC Voltage (V),Daily Energy (Wh)
2026-09-13T17:20:00Z,1420b0314f85,1,82.0,42.7,138.0
2026-09-13T17:20:00Z,1420b0314f85,2,81.0,42.7,137.0
2026-09-13T17:20:00Z,1420b0314f85,3,82.0,42.7,138.0
2026-09-13T17:20:00Z,1420b0314f85,4,82.0,42.8,137.0
2026-09-13T17:20:00Z,1420b03150a1,1,10.0,16.0,77.0
2026-09-13T17:20:00Z,1420b03150a1,2,100.0,49.1,101.0
2026-09-13T17:20:00Z,1420b03150a1,3,84.0,42.9,141.0
2026-09-13T17:20:00Z,1420b03150a1,4,85.0,42.9,143.0
2026-09-13T17:20:00Z,1420b0315189,1,85.0,42.9,143.0
2026-09-13T17:20:00Z,1420b0315189,2,84.0,42.8,141.0
2026-09-13T17:20:00Z,1420b0315189,3,84.0,42.7,142.0
2026-09-13T17:20:00Z,1420b0315189,4,85.0,43.0,143.0
2026-09-13T17:20:00Z,1420b03153ec,1,83.0,42.8,142.0
2026-09-13T17:20:00Z,1420b03153ec,2,84.0,42.9,142.0
2026-09-13T17:20:00Z,1420b03153ec,3,84.0,43.0,143.0
2026-09-13T17:20:00Z,1420b03153ec,4,84.0,42.8,143.0
2026-09-13T17:30:00Z,1420b03145c2,1,178.0,43.7,145.0
2026-09-13T17:30:00Z,1420b03145c2,3,174.0,43.7,144.0
2026-09-13T17:30:00Z,1420b03145c2,4,169.0,43.7,140.0
2026-09-13T17:30:00Z,1420b0314618,1,182.0,43.4,163.0
2026-09-13T17:30:00Z,1420b0314618,2,180.0,43.4,160.0
2026-09-13T17:30:00Z,1420b0314618,3,183.0,43.6,162.0
2026-09-13T17:30:00Z,1420b0314618,4,182.0,43.5,162.0
2026-09-13T17:30:00Z,1420b03146bb,1,196.0,43.2,152.0
2026-09-13T17:30:00Z,1420b03146bb,2,190.0,43.3,148.0
2026-09-13T17:30:00Z,1420b03146bb,3,0.0,6.7,0.0
2026-09-13T17:30:00Z,1420b03146bb,4,194.0,43.4,152.0
